factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
breakout_high_20,10,-0.21500006451228695,-0.2292384789531497,0.08471992009661944,-0.16612380686147732,-0.053208049696873164,-0.03208621453491958,-0.04819474728487687,-0.031513190479548814,-0.02112183516195358,0.004699738903394256,0.2292384789531497
amihud_illiq_20,3,0.1959487175627556,0.22827083586207858,-0.08256298441365721,0.17446527682454127,0.011024794734942141,0.009130236922509784,0.010592723551604144,0.009056367116743569,0.0018945578124323573,0.005202913631633715,0.22827083586207858
m5_down_volume_pressure,20,0.17566593674347802,0.22807861660859233,-0.054599755612633805,0.17027869964879638,0.000774297107562021,0.0005935605258758954,0.000753484096958259,0.000576969648856856,0.00018073658168612562,0.8446194225721785,0.22807861660859233
breakout_high_prior_20,10,-0.20688474335194243,-0.22749235707578866,0.08331404182807696,-0.1624873101440861,-0.052765918960604896,-0.030830820931144802,-0.047386981457660945,-0.03032542514951268,-0.021935098029460094,0.005221932114882507,0.22749235707578866
bollinger_width,10,0.2746593583215844,0.22726847807919967,-0.13054025549113715,0.20910253019373362,0.1467823514726567,0.10348767182349958,0.14024310263159068,0.10431779882976823,0.04329467964915712,0.004699738903394256,0.22726847807919967
amihud_illiq_10,3,0.1792505119967516,0.22592220689099368,-0.07011208321564313,0.16753803403381928,0.011263191161646143,0.009096950815078964,0.010742324072618173,0.008948272347029215,0.0021662403465671793,0.0026014568158168575,0.22592220689099368
downside_return_sum_20,10,-0.24025469610194503,-0.22589613462210514,0.07205353242033793,-0.15313765321069886,-0.14108228031840264,-0.10713721063485462,-0.1319172238932974,-0.10643310228657256,-0.03394506968354802,0.004699738903394256,0.22589613462210514
atr_ratio_10,10,0.2626355539032339,0.2254603633588259,-0.07277702418635715,0.14346008673523253,0.022724736223636077,0.018541718207151107,0.021555667072876473,0.01855796443614713,0.00418301801648497,0.0020887728459530026,0.2254603633588259
atr_ratio_20_60,10,0.19071871204153118,0.22531348467245937,-0.09575048670732836,0.1856557423023667,1.09135518276774,0.9901156690347758,1.0742638922157617,0.9896231451608233,0.10123951373296414,0.015143603133159269,0.22531348467245937
amihud_illiq_5,3,0.16946001214108605,0.2242194876939849,-0.07205261377382954,0.16753289757108142,0.011516244838475418,0.008947921671209242,0.01090968556104821,0.008779560165829474,0.0025683231672661757,0.0015608740894901144,0.2242194876939849
